customer_id,name,city,state,country,registration_date,is_active
0,Customer_0,Pune,West Bengal,India,2023-10-10,True
1,Customer_1,Bangalore,Gujarat,India,2023-10-19,False
2,Customer_2,Bangalore,Karnataka,India,2023-02-10,True
3,Customer_3,Bangalore,Telangana,India,2023-03-24,True
4,Customer_4,Hyderabad,Telangana,India,2023-06-04,False
5,Customer_5,Hyderabad,West Bengal,India,2023-07-26,True
6,Customer_6,Hyderabad,Karnataka,India,2023-08-07,False
7,Customer_7,Bangalore,Telangana,India,2023-08-25,True
8,Customer_8,Bangalore,Maharashtra,India,2023-07-13,False
9,Customer_9,Ahmedabad,Delhi,India,2023-07-30,False
10,Customer_10,Chennai,Gujarat,India,2023-01-14,False
11,Customer_11,Pune,West Bengal,India,2023-04-10,True
12,Customer_12,Delhi,Tamil Nadu,India,2023-06-20,True
13,Customer_13,Ahmedabad,Delhi,India,2023-11-09,True
14,Customer_14,Ahmedabad,West Bengal,India,2023-02-18,True
15,Customer_15,Mumbai,Telangana,India,2023-04-25,False
16,Customer_16,Delhi,Tamil Nadu,India,2023-04-25,False
17,Customer_17,Chennai,Gujarat,India,2023-05-05,False
18,Customer_18,Ahmedabad,Gujarat,India,2023-08-06,True
19,Customer_19,Delhi,Telangana,India,2023-04-27,True
20,Customer_20,Hyderabad,West Bengal,India,2023-11-20,False
21,Customer_21,Delhi,Delhi,India,2023-05-13,True
22,Customer_22,Pune,Karnataka,India,2023-11-24,False
23,Customer_23,Bangalore,Telangana,India,2023-07-31,True
24,Customer_24,Chennai,Gujarat,India,2023-07-12,False
25,Customer_25,Delhi,Tamil Nadu,India,2023-11-28,True
26,Customer_26,Hyderabad,Telangana,India,2023-01-12,False
27,Customer_27,Chennai,Tamil Nadu,India,2023-03-13,False
28,Customer_28,Delhi,Tamil Nadu,India,2023-12-27,False
29,Customer_29,Ahmedabad,Tamil Nadu,India,2023-04-17,False
30,Customer_30,Chennai,Tamil Nadu,India,2023-03-13,False
31,Customer_31,Hyderabad,Gujarat,India,2023-07-17,False
32,Customer_32,Delhi,Telangana,India,2023-09-21,True
33,Customer_33,Mumbai,Tamil Nadu,India,2023-06-13,True
34,Customer_34,Delhi,Maharashtra,India,2023-07-22,True
35,Customer_35,Bangalore,Gujarat,India,2023-04-27,True
36,Customer_36,Kolkata,Gujarat,India,2023-02-10,False
37,Customer_37,Hyderabad,Maharashtra,India,2023-04-01,True
38,Customer_38,Chennai,Gujarat,India,2023-08-10,True
39,Customer_39,Bangalore,Delhi,India,2023-04-21,False
40,Customer_40,Kolkata,Delhi,India,2023-04-23,False
41,Customer_41,Delhi,Delhi,India,2023-09-29,True
42,Customer_42,Mumbai,Telangana,India,2023-08-05,False
43,Customer_43,Chennai,Tamil Nadu,India,2023-08-03,True
44,Customer_44,Bangalore,Telangana,India,2023-06-20,True
45,Customer_45,Chennai,Gujarat,India,2023-11-11,True
46,Customer_46,Bangalore,Delhi,India,2023-08-06,True
47,Customer_47,Chennai,Delhi,India,2023-05-25,True
48,Customer_48,Bangalore,Tamil Nadu,India,2023-06-18,True
49,Customer_49,Bangalore,West Bengal,India,2023-01-23,True
50,Customer_50,Chennai,West Bengal,India,2023-11-25,True
51,Customer_51,Ahmedabad,Karnataka,India,2023-10-06,True
52,Customer_52,Chennai,Maharashtra,India,2023-12-02,False
53,Customer_53,Chennai,Tamil Nadu,India,2023-10-03,True
54,Customer_54,Mumbai,Delhi,India,2023-05-31,True
55,Customer_55,Hyderabad,Karnataka,India,2023-03-16,False
56,Customer_56,Pune,Telangana,India,2023-07-13,True
57,Customer_57,Chennai,Telangana,India,2023-08-15,False
58,Customer_58,Delhi,Gujarat,India,2023-03-08,False
59,Customer_59,Hyderabad,Telangana,India,2023-05-17,True
60,Customer_60,Chennai,Tamil Nadu,India,2023-05-02,False
61,Customer_61,Chennai,Telangana,India,2023-08-26,True
62,Customer_62,Ahmedabad,Karnataka,India,2023-08-03,True
63,Customer_63,Delhi,Telangana,India,2023-07-07,False
64,Customer_64,Kolkata,Delhi,India,2023-03-27,True
65,Customer_65,Delhi,Tamil Nadu,India,2023-03-06,False
66,Customer_66,Pune,Maharashtra,India,2023-12-16,False
67,Customer_67,Ahmedabad,West Bengal,India,2023-06-19,True
68,Customer_68,Hyderabad,Maharashtra,India,2023-09-29,True
69,Customer_69,Hyderabad,Delhi,India,2023-11-29,False
70,Customer_70,Ahmedabad,West Bengal,India,2023-05-06,False
71,Customer_71,Ahmedabad,Tamil Nadu,India,2023-08-27,True
72,Customer_72,Delhi,Gujarat,India,2023-04-08,True
73,Customer_73,Bangalore,Maharashtra,India,2023-02-11,True
74,Customer_74,Hyderabad,Gujarat,India,2023-08-11,False
75,Customer_75,Kolkata,Tamil Nadu,India,2023-02-02,True
76,Customer_76,Pune,Gujarat,India,2023-04-04,True
77,Customer_77,Mumbai,Karnataka,India,2023-09-14,True
78,Customer_78,Mumbai,Delhi,India,2023-01-07,False
79,Customer_79,Kolkata,Gujarat,India,2023-11-02,False
80,Customer_80,Pune,West Bengal,India,2023-04-12,False
81,Customer_81,Mumbai,Maharashtra,India,2023-01-24,False
82,Customer_82,Kolkata,Gujarat,India,2023-05-06,False
83,Customer_83,Mumbai,Telangana,India,2023-01-08,True
84,Customer_84,Mumbai,West Bengal,India,2023-02-03,True
85,Customer_85,Bangalore,Gujarat,India,2023-12-28,False
86,Customer_86,Bangalore,Maharashtra,India,2023-11-08,True
87,Customer_87,Ahmedabad,Telangana,India,2023-05-29,False
88,Customer_88,Chennai,Maharashtra,India,2023-08-10,True
89,Customer_89,Kolkata,Tamil Nadu,India,2023-09-01,False
90,Customer_90,Bangalore,Delhi,India,2023-11-23,True
91,Customer_91,Ahmedabad,West Bengal,India,2023-02-14,False
92,Customer_92,Kolkata,Telangana,India,2023-09-29,True
93,Customer_93,Delhi,Karnataka,India,2023-09-04,False
94,Customer_94,Delhi,Telangana,India,2023-09-29,False
95,Customer_95,Pune,West Bengal,India,2023-07-06,True
96,Customer_96,Kolkata,Gujarat,India,2023-11-18,True
97,Customer_97,Pune,Gujarat,India,2023-05-23,True
98,Customer_98,Ahmedabad,Maharashtra,India,2023-03-15,False
99,Customer_99,Mumbai,Gujarat,India,2023-01-19,False
100,Customer_100,Kolkata,Maharashtra,India,2023-02-11,True
101,Customer_101,Bangalore,Maharashtra,India,2023-11-18,True
102,Customer_102,Hyderabad,Gujarat,India,2023-06-20,True
103,Customer_103,Delhi,Maharashtra,India,2023-05-25,True
104,Customer_104,Ahmedabad,Tamil Nadu,India,2023-03-29,True
105,Customer_105,Ahmedabad,Telangana,India,2023-07-20,False
106,Customer_106,Chennai,Telangana,India,2023-01-18,False
107,Customer_107,Ahmedabad,Maharashtra,India,2023-08-12,True
108,Customer_108,Bangalore,Delhi,India,2023-06-18,False
109,Customer_109,Bangalore,Maharashtra,India,2023-08-18,True
110,Customer_110,Mumbai,Delhi,India,2023-09-29,True
111,Customer_111,Kolkata,Delhi,India,2023-05-09,True
112,Customer_112,Ahmedabad,Karnataka,India,2023-09-13,False
113,Customer_113,Pune,Delhi,India,2023-03-09,True
114,Customer_114,Chennai,Delhi,India,2023-09-15,False
115,Customer_115,Mumbai,Karnataka,India,2023-03-13,False
116,Customer_116,Ahmedabad,Maharashtra,India,2023-12-20,True
117,Customer_117,Pune,West Bengal,India,2023-03-18,False
118,Customer_118,Mumbai,Delhi,India,2023-06-25,True
119,Customer_119,Mumbai,Delhi,India,2023-05-30,False
120,Customer_120,Bangalore,Gujarat,India,2023-03-07,True
121,Customer_121,Hyderabad,West Bengal,India,2023-04-10,False
122,Customer_122,Chennai,Delhi,India,2023-10-16,False
123,Customer_123,Ahmedabad,Telangana,India,2023-11-05,False
124,Customer_124,Hyderabad,Telangana,India,2023-10-26,True
125,Customer_125,Delhi,Telangana,India,2023-08-07,False
126,Customer_126,Chennai,Delhi,India,2023-11-06,True
127,Customer_127,Kolkata,Telangana,India,2023-12-30,True
128,Customer_128,Ahmedabad,Telangana,India,2023-04-22,True
129,Customer_129,Mumbai,Karnataka,India,2023-07-13,True
130,Customer_130,Kolkata,West Bengal,India,2023-02-19,False
131,Customer_131,Ahmedabad,Gujarat,India,2023-08-06,True
132,Customer_132,Hyderabad,Tamil Nadu,India,2023-12-25,False
133,Customer_133,Chennai,West Bengal,India,2023-03-14,True
134,Customer_134,Kolkata,Telangana,India,2023-08-21,False
135,Customer_135,Mumbai,West Bengal,India,2023-01-05,True
136,Customer_136,Hyderabad,Delhi,India,2023-08-15,True
137,Customer_137,Chennai,Maharashtra,India,2023-02-22,False
138,Customer_138,Ahmedabad,Karnataka,India,2023-03-31,True
139,Customer_139,Mumbai,Karnataka,India,2023-11-06,True
140,Customer_140,Hyderabad,Gujarat,India,2023-11-06,True
141,Customer_141,Hyderabad,Telangana,India,2023-01-17,False
142,Customer_142,Pune,West Bengal,India,2023-02-09,True
143,Customer_143,Hyderabad,Tamil Nadu,India,2023-02-28,False
144,Customer_144,Kolkata,Telangana,India,2023-02-28,True
145,Customer_145,Pune,Tamil Nadu,India,2023-11-27,True
146,Customer_146,Delhi,Delhi,India,2023-01-03,False
147,Customer_147,Delhi,Karnataka,India,2023-05-08,False
148,Customer_148,Bangalore,Telangana,India,2023-04-24,True
149,Customer_149,Kolkata,Delhi,India,2023-07-18,True
150,Customer_150,Kolkata,Tamil Nadu,India,2023-09-07,True
151,Customer_151,Pune,Telangana,India,2023-11-02,False
152,Customer_152,Kolkata,Karnataka,India,2023-06-10,True
153,Customer_153,Delhi,Karnataka,India,2023-02-02,False
154,Customer_154,Ahmedabad,Karnataka,India,2023-06-20,True
155,Customer_155,Mumbai,Karnataka,India,2023-01-01,False
156,Customer_156,Bangalore,Delhi,India,2023-07-06,True
157,Customer_157,Pune,Maharashtra,India,2023-05-13,False
158,Customer_158,Mumbai,West Bengal,India,2023-06-30,True
159,Customer_159,Hyderabad,Delhi,India,2023-10-17,False
160,Customer_160,Ahmedabad,Telangana,India,2023-10-25,False
161,Customer_161,Hyderabad,Tamil Nadu,India,2023-12-18,False
162,Customer_162,Mumbai,West Bengal,India,2023-04-22,False
163,Customer_163,Kolkata,Gujarat,India,2023-07-29,True
164,Customer_164,Kolkata,Delhi,India,2023-11-09,False
165,Customer_165,Kolkata,West Bengal,India,2023-03-25,False
166,Customer_166,Hyderabad,Karnataka,India,2023-10-09,True
167,Customer_167,Ahmedabad,Karnataka,India,2023-07-06,False
168,Customer_168,Mumbai,Delhi,India,2023-11-05,False
169,Customer_169,Delhi,Tamil Nadu,India,2023-07-16,True
170,Customer_170,Mumbai,Tamil Nadu,India,2023-08-31,True
171,Customer_171,Delhi,Delhi,India,2023-07-27,True
172,Customer_172,Pune,West Bengal,India,2023-06-25,False
173,Customer_173,Ahmedabad,Gujarat,India,2023-09-06,True
174,Customer_174,Bangalore,Gujarat,India,2023-03-12,False
175,Customer_175,Mumbai,Delhi,India,2023-08-16,False
176,Customer_176,Mumbai,Karnataka,India,2023-07-09,False
177,Customer_177,Kolkata,Telangana,India,2023-05-04,False
178,Customer_178,Ahmedabad,West Bengal,India,2023-10-08,True
179,Customer_179,Mumbai,Karnataka,India,2023-02-20,True
180,Customer_180,Chennai,Gujarat,India,2023-03-26,True
181,Customer_181,Hyderabad,Gujarat,India,2023-12-16,False
182,Customer_182,Bangalore,Telangana,India,2023-08-03,False
183,Customer_183,Kolkata,Karnataka,India,2023-07-09,True
184,Customer_184,Kolkata,Karnataka,India,2023-11-20,False
185,Customer_185,Ahmedabad,Maharashtra,India,2023-07-06,True
186,Customer_186,Ahmedabad,Telangana,India,2023-01-13,True
187,Customer_187,Bangalore,West Bengal,India,2023-01-05,False
188,Customer_188,Ahmedabad,Telangana,India,2023-10-25,True
189,Customer_189,Chennai,Gujarat,India,2023-08-30,True
190,Customer_190,Chennai,Maharashtra,India,2023-03-27,True
191,Customer_191,Chennai,Telangana,India,2023-05-03,False
192,Customer_192,Bangalore,Maharashtra,India,2023-12-29,True
193,Customer_193,Pune,Gujarat,India,2023-05-03,False
194,Customer_194,Chennai,Telangana,India,2023-04-28,True
195,Customer_195,Mumbai,West Bengal,India,2023-10-08,False
196,Customer_196,Kolkata,Tamil Nadu,India,2023-01-25,False
197,Customer_197,Kolkata,Maharashtra,India,2023-02-16,True
198,Customer_198,Pune,Delhi,India,2023-08-17,False
199,Customer_199,Ahmedabad,Karnataka,India,2023-04-25,True
200,Customer_200,Kolkata,Karnataka,India,2023-11-07,False
201,Customer_201,Pune,Maharashtra,India,2023-01-16,False
202,Customer_202,Kolkata,Tamil Nadu,India,2023-10-21,False
203,Customer_203,Mumbai,Maharashtra,India,2023-03-28,True
204,Customer_204,Kolkata,Gujarat,India,2023-03-26,True
205,Customer_205,Pune,West Bengal,India,2023-07-23,True
206,Customer_206,Delhi,Delhi,India,2023-03-25,True
207,Customer_207,Pune,Maharashtra,India,2023-07-05,False
208,Customer_208,Kolkata,Maharashtra,India,2023-03-03,True
209,Customer_209,Mumbai,West Bengal,India,2023-08-20,True
210,Customer_210,Chennai,West Bengal,India,2023-05-12,True
211,Customer_211,Chennai,Karnataka,India,2023-09-11,False
212,Customer_212,Delhi,Maharashtra,India,2023-05-03,False
213,Customer_213,Ahmedabad,Delhi,India,2023-10-20,False
214,Customer_214,Delhi,Maharashtra,India,2023-07-06,False
215,Customer_215,Pune,Maharashtra,India,2023-06-29,True
216,Customer_216,Kolkata,Maharashtra,India,2023-07-24,True
217,Customer_217,Chennai,Tamil Nadu,India,2023-09-03,True
