item_id,order_id,item_name,category,price
0,77218,Item_0,Electronics,384.4262437340171
1,45725,Item_1,Sports,16.718338839655523
2,110759,Item_2,Home,92.77364607728644
3,159852,Item_3,Sports,82.11438056444635
4,86872,Item_4,Clothing,342.439070491158
5,160371,Item_5,Sports,43.503609614523356
6,117207,Item_6,Home,71.91836576365192
7,147144,Item_7,Books,353.40251999080954
8,23795,Item_8,Electronics,70.49720291584508
9,105117,Item_9,Sports,250.70329575857656
10,109862,Item_10,Electronics,324.8295914457192
11,115230,Item_11,Clothing,235.45943701077036
12,120278,Item_12,Books,403.3395127475678
13,41139,Item_13,Sports,452.31172025892704
14,104475,Item_14,Clothing,174.5875706420982
15,96105,Item_15,Electronics,81.8603914904119
16,108500,Item_16,Home,178.45016973683013
17,138932,Item_17,Books,135.9078794511417
18,73884,Item_18,Home,116.16709028693936
19,22677,Item_19,Electronics,384.25375929220826
20,17468,Item_20,Electronics,309.43336669347
21,64425,Item_21,Sports,289.54113319864234
22,147945,Item_22,Home,249.95602006448843
23,123754,Item_23,Clothing,428.0579389243405
24,7461,Item_24,Home,109.33307507171678
25,36191,Item_25,Clothing,59.81285323764351
26,104011,Item_26,Books,100.35568061541838
27,130202,Item_27,Home,466.2217057499549
28,15545,Item_28,Books,204.13794591360045
29,7605,Item_29,Books,370.5562296211891
30,41153,Item_30,Home,43.675197970390315
31,82714,Item_31,Books,230.78734400407606
32,73171,Item_32,Clothing,110.77391548675148
33,163365,Item_33,Clothing,40.36475508030604
34,132143,Item_34,Electronics,466.4859851761773
35,169620,Item_35,Books,83.10896399788253
36,18586,Item_36,Home,403.47223467944923
37,7794,Item_37,Electronics,499.5475060152434
38,97647,Item_38,Books,376.8380687511187
39,152721,Item_39,Sports,439.0256228375069
40,94563,Item_40,Books,29.270943814442806
41,82128,Item_41,Electronics,130.37631215451535
42,155630,Item_42,Electronics,168.89441777806545
43,92532,Item_43,Books,111.24390761633495
44,11872,Item_44,Home,498.47238716786694
45,73138,Item_45,Sports,97.44402742337256
46,34512,Item_46,Books,367.962004911669
47,125114,Item_47,Home,234.16211979715183
48,51881,Item_48,Clothing,343.9864124258862
49,87022,Item_49,Clothing,79.12031065047697
50,94705,Item_50,Electronics,132.32136239089743
51,149744,Item_51,Electronics,76.2695308881286
52,40470,Item_52,Books,143.77511678432154
53,44635,Item_53,Books,489.18489691237824
54,156795,Item_54,Books,218.6387235478459
55,169054,Item_55,Electronics,188.30004326965295
56,103377,Item_56,Home,358.14499487731996
57,149370,Item_57,Sports,144.9850624317316
58,160377,Item_58,Electronics,105.86085946147533
59,33952,Item_59,Home,484.0293939616426
60,70880,Item_60,Clothing,333.91856901687794
61,157429,Item_61,Electronics,445.4678610352416
62,8319,Item_62,Sports,153.25094991621972
63,112437,Item_63,Clothing,217.4670496266536
64,29550,Item_64,Electronics,487.5891847063433
65,138066,Item_65,Books,118.74284066280283
66,109875,Item_66,Home,152.4132985601384
67,57711,Item_67,Sports,486.0492584080661
68,108015,Item_68,Clothing,10.226462113116382
69,17836,Item_69,Sports,230.18682562740858
70,43753,Item_70,Sports,307.3713795399744
71,57142,Item_71,Sports,89.2414598239451
72,37086,Item_72,Books,73.48151840362685
73,34870,Item_73,Books,464.988343150824
74,7192,Item_74,Sports,373.1629616617858
75,66610,Item_75,Books,292.8094095086782
76,159684,Item_76,Clothing,340.63574136233973
77,20061,Item_77,Sports,388.42363466544714
78,82162,Item_78,Books,463.49376165863765
79,65362,Item_79,Clothing,469.18591115365933
80,81556,Item_80,Clothing,173.23738615337763
81,96004,Item_81,Home,396.7148219123672
82,56276,Item_82,Books,381.1912405594728
83,16093,Item_83,Books,217.39105911060426
84,71136,Item_84,Electronics,303.74243830819273
85,928,Item_85,Home,13.060554160986085
86,49235,Item_86,Books,373.6812322805099
87,58382,Item_87,Clothing,212.01326212281558
88,138122,Item_88,Sports,76.51123108224871
89,138152,Item_89,Home,473.65205520111164
90,150828,Item_90,Sports,483.8518967449311
91,101208,Item_91,Books,436.67905652195725
92,165139,Item_92,Clothing,128.52765583446126
93,111479,Item_93,Electronics,15.491573048825606
94,72311,Item_94,Clothing,196.73612717122646
95,110565,Item_95,Electronics,332.6924876021338
96,156605,Item_96,Sports,440.7053418045556
97,141932,Item_97,Books,38.192275648856906
98,121429,Item_98,Electronics,37.42045232994111
99,151534,Item_99,Clothing,306.10354906654084
100,45944,Item_100,Clothing,83.25953281360873
101,82529,Item_101,Sports,377.49568756677246
102,80715,Item_102,Books,293.3251405775547
103,72337,Item_103,Electronics,179.19537739365836
104,56658,Item_104,Sports,252.88165593351948
105,37660,Item_105,Electronics,29.391753985887803
106,29636,Item_106,Electronics,44.628122691741815
107,122437,Item_107,Clothing,354.54436592210806
108,84733,Item_108,Sports,370.2216131256804
109,86904,Item_109,Home,126.25243141603727
110,169593,Item_110,Clothing,432.3586947485218
111,156717,Item_111,Home,95.11800377463895
112,129924,Item_112,Home,50.94570547061641
113,86174,Item_113,Books,453.211099331628
114,22733,Item_114,Sports,245.77323080320573
115,46487,Item_115,Electronics,319.641021041651
116,87817,Item_116,Clothing,155.29692017033565
117,166338,Item_117,Home,420.1801158406263
118,83096,Item_118,Sports,449.1443308309826
119,18631,Item_119,Clothing,7.598349046067353
120,34625,Item_120,Sports,83.81304815076743
121,88438,Item_121,Electronics,194.59201446029155
122,57101,Item_122,Sports,53.695387411027326
123,14636,Item_123,Home,397.0569850332556
124,153413,Item_124,Electronics,134.37150015576475
125,103224,Item_125,Books,327.15170321749673
